MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367770270,2020-01-01T00:29:17,40.63981,-74.19115,0,80.3,65,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:26:58,40.63981,-74.19115,0,80.3,67,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:20:57,40.63981,-74.19114,0,77.7,70,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:59:07,40.63981,-74.19114,0,88.6,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:23:28,40.63981,-74.19113,0,90.3,62,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:12:27,40.63981,-74.1911,0,130.4,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:50:28,40.63981,-74.1911,0,27.8,45,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:14:47,40.63981,-74.19109,0,97.4,70,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T01:13:38,40.63981,-74.19109,0,130.4,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367797720,2020-01-01T00:32:38,40.63981,-74.14574,0.2,63,149,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T02:25:54,40.63981,-74.1457,0.2,-115.6,243,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:58:44,40.63981,-74.14568,0.1,42,232,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:45:44,40.63981,-74.14567,0.1,45,237,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:07:14,40.63981,-74.14567,0,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:11:04,40.63981,-74.14567,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:14:55,40.63981,-74.14567,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:21:14,40.63981,-74.14567,0.1,13,233,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:39:34,40.63981,-74.14566,0.1,46,223,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:47:15,40.63981,-74.14566,0.1,44,240,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T00:49:35,40.63981,-74.14566,0.1,43,234,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:06:04,40.63981,-74.14566,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:04:54,40.63981,-74.14566,0.1,44,234,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:16:34,40.63981,-74.14566,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:08:45,40.63981,-74.14566,0.1,44,236,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:24:45,40.63981,-74.14566,0.2,43,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:09:54,40.63981,-74.14566,0.1,40,226,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:13:44,40.63981,-74.14565,0.2,44,232,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:09:54,40.63981,-74.14565,0.1,44,235,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:27:55,40.63981,-74.14565,0.1,43,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:35:55,40.63981,-74.14565,0.1,42,232,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:39:55,40.63981,-74.14565,0.1,41,230,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:55:28,40.63981,-74.14565,0.1,40,230,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:54:15,40.63981,-74.14565,0.1,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:45:02,40.63981,-74.14565,0.1,41,232,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T01:47:55,40.63981,-74.14565,0.1,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:11:05,40.63981,-74.14565,0.1,39,225,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:30:06,40.63981,-74.14564,0.1,43,232,DAISY MAE,,WDJ6432,,0,,,,,A
367797720,2020-01-01T02:02:25,40.63981,-74.14564,0.1,40,231,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T02:17:34,40.63981,-74.14564,0.1,38,228,DAISY MAE,,WDJ6432,,0,,,,,B
367797720,2020-01-01T01:46:44,40.63981,-74.14563,0.1,40,232,DAISY MAE,,WDJ6432,,0,,,,,B
367770270,2020-01-01T00:42:28,40.63982,-74.19114,0,86.3,63,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,A
367770270,2020-01-01T00:13:38,40.63982,-74.19113,0,75,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
367770270,2020-01-01T00:18:36,40.63982,-74.19113,0,82.9,69,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B
